City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
241,Saint Anthony,45.0205,-93.218,84.22,51,1,10.11,US,2021-06-07 04:08:36
242,Laguna,38.421,-121.4238,80.42,43,1,7.0,US,2021-06-07 04:08:37
243,Krasnozerskoye,53.9828,79.2374,70.84,39,0,6.29,RU,2021-06-07 04:08:37
244,Port Hedland,-20.3167,118.5667,87.85,19,46,16.11,AU,2021-06-07 04:08:37
245,Majene,-3.5403,118.9707,86.09,64,100,7.43,ID,2021-06-07 04:07:17
246,Thompson,55.7435,-97.8558,52.61,74,100,10.94,CA,2021-06-07 04:08:38
247,Pevek,69.7008,170.3133,50.94,59,4,15.23,RU,2021-06-07 04:08:38
248,Arlit,18.7369,7.3853,89.47,14,94,6.82,NE,2021-06-07 04:08:38
249,Dunedin,-45.8742,170.5036,51.8,75,69,14.0,NZ,2021-06-07 04:08:39
250,Enid,36.3956,-97.8784,72.01,92,90,7.0,US,2021-06-07 04:08:39
251,Ganzhou,28.8184,115.4327,87.35,56,90,2.84,CN,2021-06-07 04:08:39
252,Ostrovnoy,68.0531,39.5131,39.94,72,32,5.48,RU,2021-06-07 04:08:40
253,Salalah,17.0151,54.0924,84.29,89,75,6.91,OM,2021-06-07 04:08:40
254,Lensk,60.7253,114.9278,60.31,25,4,13.67,RU,2021-06-07 04:08:40
255,Progreso,21.2833,-89.6667,84.31,61,99,13.6,MX,2021-06-07 04:08:41
256,Zhezkazgan,47.8043,67.7144,74.84,17,36,16.78,KZ,2021-06-07 04:08:41
257,Wattegama,6.7989,81.4808,83.32,56,100,4.29,LK,2021-06-07 04:08:42
258,Aden,12.7794,45.0367,87.42,77,47,6.08,YE,2021-06-07 04:05:48
259,Kindu,-2.95,25.95,68.52,99,100,1.34,CD,2021-06-07 04:08:42
260,Moron,-34.6534,-58.6198,54.97,87,97,6.82,AR,2021-06-07 04:08:42
261,Igrim,63.1906,64.4162,49.75,34,65,4.83,RU,2021-06-07 04:08:43
262,Vicam,27.6333,-110.2833,85.8,33,5,5.86,MX,2021-06-07 04:08:43
263,Chokurdakh,70.6333,147.9167,46.04,50,44,6.11,RU,2021-06-07 04:08:48
264,Cockburn Town,21.4612,-71.1419,79.74,78,7,22.01,TC,2021-06-07 04:08:48
265,Ponta Delgada,37.7333,-25.6667,63.32,88,20,3.44,PT,2021-06-07 04:08:48
266,Tasiilaq,65.6145,-37.6368,42.96,90,97,2.91,GL,2021-06-07 04:08:49
