City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
204,Caldwell,US,43.6629,-116.6874,66.07,35,1,13.8,clear sky
205,Balkhash,KZ,46.844,74.9804,74.01,18,0,20.13,clear sky
206,Grindavik,IS,63.8424,-22.4338,48.15,93,75,6.69,broken clouds
207,Prince Rupert,CA,54.3161,-130.3201,50.09,81,1,4.61,clear sky
208,Sawtell,AU,-30.3833,153.1,70.18,52,11,10.36,few clouds
209,Bhind,IN,26.5642,78.7883,101.26,25,7,10.89,clear sky
210,Longyearbyen,SJ,78.2186,15.6401,35.44,80,75,2.3,broken clouds
211,Henties Bay,NA,-22.116,14.2845,65.91,52,0,9.26,clear sky
212,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,75.06,85,36,5.84,scattered clouds
213,Krasnoye,UA,49.9145,24.6134,59.29,92,47,5.17,scattered clouds
214,Sola,VU,-13.8833,167.55,80.33,74,73,13.98,broken clouds
215,Temozon,MX,20.8,-88.2167,78.08,85,78,6.15,broken clouds
216,San Quintin,MX,30.4833,-115.95,68.43,78,33,6.71,scattered clouds
217,Skjervoy,NO,70.0311,20.9714,57.2,66,18,7.23,few clouds
218,Camalu,MX,30.85,-116.0667,66.88,81,47,5.01,scattered clouds
219,Wajir,KE,1.7471,40.0573,74.79,67,70,15.32,broken clouds
220,Alice Town,BS,25.7167,-79.3,79.79,78,91,21.21,overcast clouds
221,Ilulissat,GL,69.2167,-51.1,37.42,81,0,0.0,clear sky
222,Darab,IR,28.7519,54.5444,94.8,8,0,9.93,clear sky
223,Malazgirt,TR,39.1427,42.5401,56.05,49,0,1.14,clear sky
224,Nantucket,US,41.2835,-70.0995,70.02,89,1,10.36,clear sky
225,Ribeira Grande,PT,38.5167,-28.7,64.99,91,100,9.48,overcast clouds
226,Karakol,KG,42.4907,78.3936,66.4,49,100,7.81,overcast clouds
227,Kawalu,ID,-7.3817,108.2082,85.14,61,75,4.38,broken clouds
228,Vila Velha,BR,-20.3297,-40.2925,69.94,97,0,1.99,clear sky
229,Ankang,CN,32.68,109.0172,90.95,38,100,1.3,overcast clouds
230,Aykhal,RU,66.0,111.5,38.66,84,76,33.24,light rain
231,Pisco,PE,-13.7,-76.2167,62.65,88,90,1.14,overcast clouds
232,Peru,US,40.7537,-86.0689,75.58,81,1,9.69,clear sky
233,Upernavik,GL,72.7868,-56.1549,34.3,82,19,5.77,few clouds
234,Chiredzi,ZW,-21.05,31.6667,53.62,89,77,4.36,broken clouds
235,Aswan,EG,24.0934,32.907,80.29,19,0,13.6,clear sky
236,Osijek,HR,45.5511,18.6939,64.42,100,69,5.28,fog
237,Suchiate,MX,14.55,-92.2167,83.3,79,38,4.29,scattered clouds
238,Zhangjiakou,CN,40.81,114.8794,80.67,28,96,12.48,overcast clouds
239,Auce,LV,56.4598,22.9017,59.45,71,11,4.99,few clouds
240,Vila Franca Do Campo,PT,37.7167,-25.4333,63.01,89,99,3.47,overcast clouds
241,Hekinan,JP,34.8833,136.9833,87.28,57,75,10.85,broken clouds
242,Bilma,NE,18.6853,12.9164,84.9,19,86,7.56,overcast clouds
243,Pailon,BO,-17.65,-62.75,67.1,87,31,1.05,scattered clouds
244,Constitucion,CL,-35.3333,-72.4167,52.12,63,100,4.81,light rain
245,Slave Lake,CA,55.2834,-114.769,53.58,71,1,0.0,clear sky
246,Port Hardy,CA,50.6996,-127.4199,51.98,82,75,0.0,broken clouds
247,Mpwapwa,TZ,-6.35,36.4833,57.9,86,5,4.59,clear sky
248,Broken Hill,AU,-31.95,141.4333,62.31,39,65,18.41,broken clouds
249,Lydenburg,ZA,-25.0978,30.4597,40.28,94,0,2.86,clear sky
250,Tessalit,ML,20.1986,1.0114,89.62,11,0,9.73,clear sky
251,Pedro Ii,BR,-4.4247,-41.4586,69.1,73,16,1.41,few clouds
252,Lensk,RU,60.7253,114.9278,60.31,25,4,13.67,clear sky
253,Bac Lieu,VN,9.285,105.7244,91.38,55,99,17.18,light rain
254,Cidreira,BR,-30.1811,-50.2056,62.29,78,91,13.02,overcast clouds
255,Buala,SB,-8.145,159.5921,83.95,73,75,8.08,light rain
256,Innisfail,AU,-17.5333,146.0333,72.81,81,84,9.73,broken clouds
257,Kerema,PG,-7.9631,145.7785,80.82,81,99,5.57,light rain
258,Smoky Lake,CA,54.1169,-112.4686,59.16,67,3,4.34,clear sky
259,La Seyne-Sur-Mer,FR,43.0982,5.8847,65.93,82,0,2.01,clear sky
260,Zinder,NE,13.8072,8.9881,82.69,45,46,12.5,scattered clouds
261,Takoradi,GH,4.8845,-1.7554,78.67,86,38,8.75,light rain
262,Moissac,FR,44.1024,1.0945,58.15,92,21,3.94,few clouds
263,Moose Factory,CA,51.2585,-80.6094,78.8,65,40,11.5,scattered clouds
264,Tamluk,IN,22.3,87.9167,93.18,37,91,11.27,overcast clouds
265,Ust-Maya,RU,60.4167,134.5333,88.14,27,86,12.66,overcast clouds
266,Luderitz,NA,-26.6481,15.1594,64.8,36,1,8.61,clear sky
267,Kunda,IN,25.7167,81.5167,103.17,24,78,13.29,broken clouds
268,Aldan,RU,58.6031,125.3894,51.78,71,100,10.2,overcast clouds
269,Fort Nelson,CA,58.8053,-122.7002,58.59,41,75,5.75,broken clouds
270,Santo Domingo,DO,18.5001,-69.9886,76.03,88,100,3.0,overcast clouds
271,Arlit,NE,18.7369,7.3853,89.47,14,94,6.82,overcast clouds
272,Acapulco,MX,16.8634,-99.8901,83.16,80,100,8.25,overcast clouds
273,Salto,UY,-31.3833,-57.9667,45.88,96,7,3.0,clear sky
274,Bulgan,MN,48.8125,103.5347,39.24,93,100,8.52,overcast clouds
275,Gaziantep,TR,37.0594,37.3825,71.53,33,0,8.23,clear sky
276,Faya,SA,18.3851,42.4509,70.32,33,6,1.01,clear sky
277,San Joaquin,US,37.9333,-121.3011,73.29,43,1,16.11,clear sky
278,Sao Joao Da Barra,BR,-21.6403,-41.0511,72.27,89,100,9.91,overcast clouds
